Title,Year,Director,Literary_Credits,Subjects,Filming_Location,Production_Companies,Distribution_Companies
The Yearling,1947,Clarence Brown||Victor Fleming,Marjorie Kinnan Rawlings ,"Deer|Animals|Farm life|Bears|Children|Fathers and sons|Death and dying|Maturation|Mothers and sons|Dogs|Youth|Fistfights|Florida|Grief|Hunting|Reconciliation|Runaways|Snake bites|United States--History--Reconstruction, 1865-1898",Silver Springs Florida United States||Lake Arrowhead California United States,Metro-Goldwyn-Mayer Corp.,Loew's Inc.
Michael O'Halloran,1948,John Rawlins,Gene Stratton-Porter ,Alcoholics|Accidents|Handicapped|Apartments|Drugstores|Juvenile courts|Hospitals|Mothers and daughters|Newsboys|Judges|Orphans|Pharmacists|Police|Regeneration|Surgeons|Trials|Wheelchairs,,Windsor Pictures Corp.,Monogram Distributing Corp.
I Remember Mama,1948,George Stevens,Kathryn Anderson McLean ,Authors|Adolescents|Family life|Alcoholics|Motherhood|Cats|Death and dying|Norwegian Americans|Engagements|San Francisco (CA)|United States--History--1909-1919|Finance--Personal|Gifts|Handicapped|Hospitals|Intolerance|Jewelry|Lodgers|Marriage|Maturation|Physicians|Ranches|Recipes|Self-sacrifice|Sisters|Spinsters|Timidity|Uncles|Undertakers and undertaking,San Francisco California United States|,"RKO Radio Pictures, Inc.","RKO Radio Pictures, Inc."
Green Grass of Wyoming,1948,Louis King,Mary O'Hara,Adolescents|Animal culture|Family relationships|Alcoholics|Harness racing|Chases|Horses|Horse trainers|Lancaster (OH)|Regeneration|Romance|Neighbors|Nursing back to health|Partnership|Ranchers|Ranchhands|Rivalry|Square dances|Veterinarians|Wolves|Wyoming,Lancaster Ohio United States|Kanab Utah United States,Twentieth Century-Fox Film Corp.,Twentieth Century-Fox Film Corp.
Back Street,1948,Esther Eng,Fannie Hurst,,,,
Pinky,1949,Elia Kazan,Cid Ricketts Sumner ,Attempted rape|African Americans|Grandmothers|Cousins|Miscegenation|Friendship|Judges|Nurses|Gossip|Racism|Transformation|Laundresses|United States--South|Literacy|Ne'er-do-wells|Physicians|Police brutality|Racial impersonation|Storekeepers|Trials|Wills,,Twentieth Century-Fox Film Corp.,Twentieth Century-Fox Film Corp.
The Sun Comes Up,1949,Richard Thorpe,Marjorie Kinnan Rawlings,Accidental death|Dogs|Adoption|Grief|Authors|Opera singers|Orphans|Children|Small town life|City-country contrast|Fires|Widows|Friendship|Liars|Orphanages|Physicians|Pneumonia|Rescues|Romance|Snuff boxes and bottles|Storekeepers,Santa Cruz California United States,Metro-Goldwyn-Mayer Corp.,Loew's Inc.
The Member of the Wedding,1953,Fred Zinnemann,Carson McCullers,Adolescents|Automobile accidents|Bars|African Americans|Children|Nannies|Clubs|Obsession|Cousins|Southerners|Death and dying|Drunkenness|Fathers and daughters|Fugitives|Georgia|Infatuation|Letters|Loneliness|Musicians|Racism|Runaways|Self-sacrifice|Sisters|Small town life|Soldiers|Weddings|Widows,|Colusa California United States,"Stanley Kramer Co., Inc.",Columbia Pictures Corp.
So Big,1953,Robert Wise,Edna Ferber ,Dutch Americans|Adolescents|Farmers|Architects|Idealism|Artists|Asparagus|Mothers and sons|Auctions|Boarding schools|Businessmen|Chicago (IL)|Children|Composers|Friendship|Idle rich|Jealousy|Lure of riches|Neighbors|Proposals (Marital)|Romance|Salesmen|Schoolteachers|Self-made men|Small town life|Snobs and snobbishness|Social climbers|Transformation|Truck farmers|Unrequited love|United States--Midwest|Widows,Santa Ana California United States|Newport Beach California United States,"Warner Bros. Pictures, Inc.","Warner Bros. Pictures, Inc."
Bright Road,1953,Gerald Mayer,Mary Elizabeth Vroman,Bees and wasps|African Americans|Children|Butterflies|Schoolteachers|Christmas|Death and dying|Fights|Obstinacy|Poverty|Religion|School superintendents and principals|Sleeping Beauty (Play),,Metro-Goldwyn-Mayer Corp.,Loew's Inc.
Lucy Gallant,1955,Robert Parrish,Margaret Cousins,"African Americans|Battle of the sexes|Nouveaux riches|Bankers|Boardinghouses|Ranchers|Boom towns|Romance|Brothels|Stores, Retail|Texas|Clothes|Women in business|Couturiers|Easterners|Engagements|Europe|Fashion shows|Governors|Hotels|Loans|Luggage|Madams|Models|Oilmen|Parties|Rainstorms|Train stations|Veterans|War injuries|World War II",Bakersfield California United States,"Paramount Pictures Corp.,Pine-Thomas Productions",Paramount Pictures Corp.
Giant,1956,George Stevens,Edna Ferber,Businessmen|Family relationships|Marriage--Mixed|Cattle|Mexican Americans|Childbirth|Christmas|Migrant workers|Cowboys|Oil wells|Racism|Drunkenness|Ranches|Funerals|Texas|Horses|Lawyers|Parades|Physicians|Poverty|Thanksgiving Day|Twins|Wealth|World War II,Marfa Texas United States||Charlottesville Virginia United States|,"Warner Bros. Pictures, Inc.","Warner Bros. Pictures, Inc."
Tammy and the Bachelor,1957,Joseph Pevney,Cid Ricketts Sumner,Airplane accidents|Class distinction|Farms|Bootleggers|Businessmen|Fear|Family relationships|Maturation|Naïveté|Goats|Grandfathers|Transformation|Unrequited love|Houseboats|Kisses|Louisiana|Painters|Professors|Romantic rivalry|Storms|Temperance|Wounds and injuries,|,"Universal-International Pictures Co., Inc.","Universal Pictures Co., inc."
The Hanging Tree,1959,Delmer Daves||Karl Malden||Vincent Sherman,Dorothy M. Johnson,Attempted rape|Gold miners|Immigrants|Blindness--Temporary|Cabins|Lechery|Drunkenness|Mining towns|Gambling|Physicians|Swiss|Gold|Indentured servants|Lynching|Mobs|Nursing back to health|Prudes|Secrets|Stagecoach robberies|Storekeepers|Transformation,Yakima Washington United States,"Baroda Productions, Inc.","Warner Bros. Pictures, Inc."
Imitation of Life,1959,Douglas Sirk,Fannie Hurst,African Americans|Actors and actresses|Adolescence|Ambition|Friendship|Chorus girls|Mothers and daughters|Funerals|Grief|Neglected children|Racial impersonation|Housekeepers|Infatuation|Maturation|New York City--Broadway|New York City--Coney Island|Photographers|Playwrights|Racism|Romance|Seduction|Spirituals (Songs)|Theater|Theatrical agents|Vocational obsession|Widows,Hollywood California United States|,"Universal-International Pictures Co., Inc.","Universal Pictures Co., inc."
Cimarron,1960,Anthony Mann,Edna Ferber,Family relationships|Adventurers|Bank robberies|Homesteaders|Brothels|Idealists|Land rushes|Childbirth|Marriage|Desertion (Marital)|Oklahoma|Editors|French Americans|Friendship|Indians of North America|Jealousy|Jews|Loans|Lynching|Marriage--Mixed|Merchants|Newspapers|Oil tycoons|Outlaws|Political corruption|Racism|Reconciliation|Rescues|Shootings|Small town life|Social climbers|Swindlers and swindling,|Tucson Arizona United States|Mescal Arizona United States,Metro-Goldwyn-Mayer Corp.,Loew's Inc.
Ice Palace,1960,Vincent Sherman,Edna Ferber ,Airplane accidents|Alaska|Bears|Entrepreneurs|Family relationships|Canneries|Childbirth|Feuds|Greed|Chinese Americans|Death by animals|Indians of North America--Mixed blood|Romantic rivalry|Death in childbirth|Dogsledding|Statehood (American politics)|Elopement|Fishermen|Fishing villages|Granddaughters|Heart disease|Hotelkeepers|Houseboys|Irish Americans|Lawyers|Loneliness|Marriage--Arranged|Native Alaskans|Neglected children|Neglected wives|Political candidates|Racism|Rescues|Salmon|Scottish Americans|Seattle (WA)|Snow storms,Juneau Alaska United States|Petersburg Alaska United States|Fairbanks Alaska United States,"Warner Bros. Pictures, Inc.","Warner Bros. Pictures, Inc."
Pollyanna,1960,David Swift,Eleanor H. Porter | David Swift,Accidents|Aunts|Bazaars|Children|Optimism|Charity|Clothes|Orphans|Romance|Dolls|Friendship|Transformation|Invalids|Mayors|Orphanages|Paralysis|Physicians|Reverends|Sermons|Small town life|Trees,Santa Rosa California United States|Napa California United States,Walt Disney Productions ,"Buena Vista Film Distribution Co., Inc."
Freckles,1960,Andrew V. McLaglen,Gene Stratton-Porter,Aunts|Forests|Handicapped|Business rivals|Cabins|Lumber camps|Lumberjacks|Editors|Fathers and daughters|Orphans|Romance|Fistfights|Scots|Guards|Thieves|Gunfights|Gunshot wounds|Indiana|Lumber camp foremen,,"Associated Producers, Inc.",Twentieth Century-Fox Film Corp.
Tess of the Storm Country,1960,Paul Guilfoyle,Grace Miller White |Rupert Hughes ,Cattle|Factories|Drunkenness|Factory owners|Family life|Elopement|Explosions|Farmers|Feuds|False accusations|Mennonites|Nieces|Pacifism and pacifists|Pollution|Revenge|Scots|Small town life|Uncles|Veterinarians|Weddings,Sonora California United States,"Associated Producers, Inc.",Twentieth Century-Fox Film Corp.
Back Street,1961,David Miller,Fannie Hurst,Alcoholism|Automobile accidents|Children|Couturiers|Divorce|Fashion shows|Family relationships|Heirs|Infidelity|Lincoln (NE)|London (England)|Mistresses|New York City|Orphans|Paris (France)|Rome (Italy)|Suicide|Veterans,Studio City California United States|New York City New York United States|Monterey California United States,"Carrollton, Inc.,Ross Hunter Productions, Inc.",Universal-International
